county,office,district,party,candidate,votes
Adams,President,,DEM,Kamala D. Harris,4443
Adams,President,,REP,Donald J. Trump,7763
Adams,President,,CON,Randall Terry,20
Adams,President,,LIB,Chase Russell Oliver,44
Adams,President,,WGR,Jill Stein,188
Adams,President,,NP,Claudia De la Cruz,35
Adams,President,,NP,Cornel West,40
Adams,President,,NP,Robert F. Kennedy Jr.,320
Adams,President,,NP,Peter Sonski,0
Adams,President,,NP,Cherunda Lynn Fox,0
Ashland,President,,DEM,Kamala D. Harris,4612
Ashland,President,,REP,Donald J. Trump,4191
Ashland,President,,CON,Randall Terry,8
Ashland,President,,LIB,Chase Russell Oliver,26
Ashland,President,,WGR,Jill Stein,26
Ashland,President,,NP,Claudia De la Cruz,3
Ashland,President,,NP,Cornel West,15
Ashland,President,,NP,Robert F. Kennedy Jr.,52
Ashland,President,,NP,Peter Sonski,2
Ashland,President,,NP,Cherunda Lynn Fox,0
Barron,President,,DEM,Kamala D. Harris,8941
Barron,President,,REP,Donald J. Trump,16726
Barron,President,,CON,Randall Terry,40
Barron,President,,LIB,Chase Russell Oliver,71
Barron,President,,WGR,Jill Stein,284
Barron,President,,NP,Claudia De la Cruz,24
Barron,President,,NP,Cornel West,86
Barron,President,,NP,Robert F. Kennedy Jr.,603
Barron,President,,NP,Peter Sonski,5
Barron,President,,NP,Cherunda Lynn Fox,0
Bayfield,President,,DEM,Kamala D. Harris,6107
Bayfield,President,,REP,Donald J. Trump,4860
Bayfield,President,,CON,Randall Terry,13
Bayfield,President,,LIB,Chase Russell Oliver,27
Bayfield,President,,WGR,Jill Stein,87
Bayfield,President,,NP,Claudia De la Cruz,8
Bayfield,President,,NP,Cornel West,14
Bayfield,President,,NP,Robert F. Kennedy Jr.,88
Bayfield,President,,NP,Peter Sonski,0
Bayfield,President,,NP,Cherunda Lynn Fox,0
Brown,President,,DEM,Kamala D. Harris,67937
Brown,President,,REP,Donald J. Trump,79132
Brown,President,,CON,Randall Terry,172
Brown,President,,LIB,Chase Russell Oliver,436
Brown,President,,WGR,Jill Stein,346
Brown,President,,NP,Claudia De la Cruz,76
Brown,President,,NP,Cornel West,79
Brown,President,,NP,Robert F. Kennedy Jr.,782
Brown,President,,NP,Peter Sonski,23
Brown,President,,NP,Cherunda Lynn Fox,0
Buffalo,President,,DEM,Kamala D. Harris,2765
Buffalo,President,,REP,Donald J. Trump,5213
Buffalo,President,,CON,Randall Terry,16
Buffalo,President,,LIB,Chase Russell Oliver,17
Buffalo,President,,WGR,Jill Stein,20
Buffalo,President,,NP,Claudia De la Cruz,2
Buffalo,President,,NP,Cornel West,1
Buffalo,President,,NP,Robert F. Kennedy Jr.,57
Buffalo,President,,NP,Peter Sonski,0
Buffalo,President,,NP,Cherunda Lynn Fox,0
Burnett,President,,DEM,Kamala D. Harris,3665
Burnett,President,,REP,Donald J. Trump,7008
Burnett,President,,CON,Randall Terry,13
Burnett,President,,LIB,Chase Russell Oliver,33
Burnett,President,,WGR,Jill Stein,19
Burnett,President,,NP,Claudia De la Cruz,2
Burnett,President,,NP,Cornel West,1
Burnett,President,,NP,Robert F. Kennedy Jr.,66
Burnett,President,,NP,Peter Sonski,3
Burnett,President,,NP,Cherunda Lynn Fox,0
Calumet,President,,DEM,Kamala D. Harris,12927
Calumet,President,,REP,Donald J. Trump,19488
Calumet,President,,CON,Randall Terry,42
Calumet,President,,LIB,Chase Russell Oliver,93
Calumet,President,,WGR,Jill Stein,83
Calumet,President,,NP,Claudia De la Cruz,10
Calumet,President,,NP,Cornel West,16
Calumet,President,,NP,Robert F. Kennedy Jr.,201
Calumet,President,,NP,Peter Sonski,4
Calumet,President,,NP,Cherunda Lynn Fox,0
Chippewa,President,,DEM,Kamala D. Harris,14573
Chippewa,President,,REP,Donald J. Trump,23399
Chippewa,President,,CON,Randall Terry,57
Chippewa,President,,LIB,Chase Russell Oliver,118
Chippewa,President,,WGR,Jill Stein,61
Chippewa,President,,NP,Claudia De la Cruz,10
Chippewa,President,,NP,Cornel West,12
Chippewa,President,,NP,Robert F. Kennedy Jr.,170
Chippewa,President,,NP,Peter Sonski,2
Chippewa,President,,NP,Cherunda Lynn Fox,0
Clark,President,,DEM,Kamala D. Harris,4509
Clark,President,,REP,Donald J. Trump,10481
Clark,President,,CON,Randall Terry,38
Clark,President,,LIB,Chase Russell Oliver,40
Clark,President,,WGR,Jill Stein,71
Clark,President,,NP,Claudia De la Cruz,7
Clark,President,,NP,Cornel West,9
Clark,President,,NP,Robert F. Kennedy Jr.,160
Clark,President,,NP,Peter Sonski,0
Clark,President,,NP,Cherunda Lynn Fox,0
Columbia,President,,DEM,Kamala D. Harris,16388
Columbia,President,,REP,Donald J. Trump,17988
Columbia,President,,CON,Randall Terry,46
Columbia,President,,LIB,Chase Russell Oliver,108
Columbia,President,,WGR,Jill Stein,83
Columbia,President,,NP,Claudia De la Cruz,12
Columbia,President,,NP,Cornel West,19
Columbia,President,,NP,Robert F. Kennedy Jr.,199
Columbia,President,,NP,Peter Sonski,4
Columbia,President,,NP,Cherunda Lynn Fox,0
Crawford,President,,DEM,Kamala D. Harris,3860
Crawford,President,,REP,Donald J. Trump,5113
Crawford,President,,CON,Randall Terry,13
Crawford,President,,LIB,Chase Russell Oliver,17
Crawford,President,,WGR,Jill Stein,15
Crawford,President,,NP,Claudia De la Cruz,3
Crawford,President,,NP,Cornel West,6
Crawford,President,,NP,Robert F. Kennedy Jr.,57
Crawford,President,,NP,Peter Sonski,0
Crawford,President,,NP,Cherunda Lynn Fox,0
Dane,President,,DEM,Kamala D. Harris,273995
Dane,President,,REP,Donald J. Trump,85454
